Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6325447,A Guide to the Project Management Body of Knowledge,Project Management Institute,"Institute, Project Management",,"=""1933890517""","=""9781933890517""",3,Project Management Inst,Paperback,459,2009,1995,,2019/04/13,non-technical,non-technical (#91),read,,,,1,0
279812,Moral Mazes: The World of Corporate Managers,Robert Jackall,"Jackall, Robert",,"=""0195060806""","=""9780195060805""",0,Oxford University Press,Paperback,272,1989,1988,,2019/04/13,"currently-reading, non-technical","currently-reading (#2), non-technical (#92)",currently-reading,,,,1,0
22474840,The Nehemiah Effect: Ancient Wisdom from the World’s First Agile Projects,Ted Kallman,"Kallman, Ted",Andrew Kallman,"=""""","=""""",1,The Association of Christian Businesses,Kindle Edition,274,2014,2014,,2019/04/13,"currently-reading, non-technical","currently-reading (#5), non-technical (#98)",currently-reading,,,,1,0
10812820,"Art of Enchantment: How to Woo, Influence and Persuade",Guy Kawasaki,"Kawasaki, Guy",,"=""0241953642""","=""9780241953648""",5,Portfolio,Paperback,240,2011,2011,,2019/04/13,non-technical,non-technical (#52),read,,,,1,1
51771754,The Motive: Why So Many Leaders Abdicate Their Most Important Responsibilities,Patrick Lencioni,"Lencioni, Patrick",,"=""1119600456""","=""9781119600459""",0,Jossey-Bass,Hardcover,192,2020,2020,,2020/03/19,"to-read, non-technical","to-read (#8), non-technical (#18)",to-read,,,,0,0
11851270,Earned Schedule,Walter H. Lipke,"Lipke, Walter H.",,"=""0557177383""","=""9780557177387""",5,Lulu.com,Paperback,201,2009,2009,,2019/04/13,non-technical,non-technical (#93),read,,,,1,1
231305,Ejb Design Patterns,Floyd Marinescu,"Marinescu, Floyd",Ed Roman,"=""0471208310""","=""9780471208310""",5,Wiley,Paperback,288,2002,2002,,2020/12/31,technical,technical (#6),read,,,,1,0
5055286,"Eat Yourself Slim, or the Secrets of Nutrition",Michel Montignac,"Montignac, Michel",Philippe Rouger,"=""2906236411""","=""9782906236417""",5,Artulen,Paperback,267,1993,1994,,2019/04/13,non-technical,non-technical (#97),read,,,,1,0
39347254,Smartreading: lees een boek per uur (Dutch Edition),Peter Plusquin,"Plusquin, Peter",Paul van der Velde,"=""9401401721""","=""""",5,Lannoo Campus,Kindle Edition,269,2012,,,2019/04/13,non-technical,non-technical (#90),read,,,,1,0
1390781,The Reformer: The Power of The Enneagram Individual Type Audio Recording,Don Richard Riso,"Riso, Don Richard",,"=""""","=""""",1,Nightingale-Conant,Audio CD,,2004,2004,,2019/04/13,non-technical,non-technical (#95),read,,,,1,1
1383877,Freedom from Command and Control,John Seddon,"Seddon, John",,"=""0954618300""","=""9780954618308""",0,Vanguard Consulting Ltd,Paperback,244,2003,2003,,2019/04/13,"to-read, non-technical","to-read (#2), non-technical (#11)",to-read,,,,0,0
13238717,Team Code of Honor: The Secrets of Champions in Business and in Life,Blair Singer,"Singer, Blair",,"=""1937832120""","=""9781937832124""",5,"BZK Press, LLC",Paperback,146,2012,2011,,2019/04/13,non-technical,non-technical (#36),read,,,,1,1
10534,The Art of War,Sun Tzu,"Tzu, Sun",Thomas Cleary,"=""""","=""""",1,Harper Press,Paperback,170,2005,-500,,2019/04/13,non-technical,non-technical (#96),read,,,,1,0
39781920,Effective Altruism: How Can We Best Help Others?,Magnus Vinding,"Vinding, Magnus",,"=""""","=""""",0,Ratio Ethica,Kindle Edition,100,2018,2018,,2020/03/19,"to-read, non-technical","to-read (#7), non-technical (#89)",to-read,,,,0,0
85009,Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma,"Gamma, Erich","Grady Booch, Richard Helm, Ralph Johnson, John Vlissides","=""0201633612""","=""9780201633610""",5,Addison-Wesley Professional,Hardcover,416,1994,1994,,2020/12/31,technical,technical (#4),read,must have for every software developer!,,,1,0
105570,Pro Spring,Rob Harrop,"Harrop, Rob",Jan Macháček,"=""1590594614""","=""9781590594612""",5,Apress,Paperback,832,2005,2005,,2020/12/31,technical,technical (#3),read,,,,1,0
1351239,The Complete Java 2 Certification Study Guide: Programmer's and Developers Exams (With CD-ROM),Simon Roberts,"Roberts, Simon","Philip Heller, Michael Ernest","=""0782128254""","=""9780782128253""",4,Sybex Inc,Hardcover,899,2000,1999,,2020/12/31,technical,technical (#2),read,,,,1,0
14975226,Pro Spring MVC: With Web Flow (Expert's Voice in Spring),Marten Deinum,"Deinum, Marten","Seth Ladd, Marten Deinum, Erwin Vervaet, Koen Serneels, Christophe Vanfleteren","=""1430241551""","=""9781430241553""",4,Apress,Paperback,624,2012,2012,,2020/12/31,technical,technical (#1),read,,,,1,0
